	variable_codebook	prompt	targets_value	targets	non_targets
0	EL103a	The purpose of the commercial is to encourage you to ...	2	nur das 2. Kästchen wurde angekreuzt: b)	1 1. Kästchen wurde angekreuzt 3 3. Kästchen wurde angekreuzt 4 4. Kästchen wurde angekreuzt 
1	EL105a	1. On the customer service helpline, one of the things you can do is ...	1	place a new order • check on an existing order	0 alle anderen Antworten
2	EL105b	2. To get technical information, you should first ...	1	(visit the)/(go to the company`s) website • www. • internet • resepol.kom	0 alle anderen Antworten
3	EL114a	1. German food is also unhealthy because it is often ...	3	nur das 3. Kästchen wurde angekreuzt: c)	1 1. Kästchen wurde angekreuzt 2 2. Kästchen wurde angekreuzt 4 4. Kästchen wurde angekreuzt 
4	EL114b	2. Today's English food is clearly influenced by ...	2	nur das 2. Kästchen wurde angekreuzt: b)	1 1. Kästchen wurde angekreuzt 3 3. Kästchen wurde angekreuzt 4 4. Kästchen wurde angekreuzt 
5	EL114c	3. The traditional Sunday roast is often served with ...	1	nur das 1. Kästchen wurde angekreuzt: a)	2 2. Kästchen wurde angekreuzt 3 3. Kästchen wurde angekreuzt 4 4. Kästchen wurde angekreuzt 
6	EL114d	"4. A particularly common ""English"" meal is ..."	4	nur das 4. Kästchen wurde angekreuzt: d)	1 1. Kästchen wurde angekreuzt 2 2. Kästchen wurde angekreuzt 3 3. Kästchen wurde angekreuzt 
7	EL114e	5. Laura loves to go to Chinese restaurants if there is ...	2	nur das 2. Kästchen wurde angekreuzt: b)	1 1. Kästchen wurde angekreuzt 3 3. Kästchen wurde angekreuzt 4 4. Kästchen wurde angekreuzt 
8	EL117aa	1. Paddington Station	1	angekreuzt	0 nicht angekreuzt
9	EL117ab	1. Paddington Station	0	nicht angekreuzt	1 angekreuzt
10	EL117ac	1. Paddington Station	0	nicht angekreuzt	1 angekreuzt
11	EL117ad	1. Paddington Station	0	nicht angekreuzt	1 angekreuzt
12	EL117ae	1. Paddington Station	0	nicht angekreuzt	1 angekreuzt
13	EL117af	1. Paddington Station	1	angekreuzt	0 nicht angekreuzt
14	EL117ag	1. Paddington Station	0	nicht angekreuzt	1 angekreuzt
15	EL117ba	2. Oxford Circus	1	angekreuzt	0 nicht angekreuzt
16	EL117bb	2. Oxford Circus	0	nicht angekreuzt	1 angekreuzt
17	EL117bc	2. Oxford Circus	0	nicht angekreuzt	1 angekreuzt
18	EL117bd	2. Oxford Circus	0	nicht angekreuzt	1 angekreuzt
19	EL117be	2. Oxford Circus	0	nicht angekreuzt	1 angekreuzt
20	EL117bf	2. Oxford Circus	0	nicht angekreuzt	1 angekreuzt
21	EL117bg	2. Oxford Circus	1	angekreuzt	0 nicht angekreuzt
22	EL117ca	3. Liverpool Street	0	nicht angekreuzt	1 angekreuzt
23	EL117cb	3. Liverpool Street	1	angekreuzt	0 nicht angekreuzt
24	EL117cc	3. Liverpool Street	0	nicht angekreuzt	1 angekreuzt
25	EL117cd	3. Liverpool Street	1	angekreuzt	0 nicht angekreuzt
26	EL117ce	3. Liverpool Street	1	angekreuzt	0 nicht angekreuzt
27	EL117cf	3. Liverpool Street	1	angekreuzt	0 nicht angekreuzt
28	EL117cg	3. Liverpool Street	0	nicht angekreuzt	1 angekreuzt 
29	EL118a	1. What is the name of the iceberg?	1	B 15  • V 15 • Bee 15	0 alle anderen Antworten
30	EL118b	2. How long is the iceberg?	1	186 miles  • one hundred eighty six miles •  hundred eighty six miles • 186 mile	0 alle anderen Antworten
31	EL118c	3. How much of it is above the water?	1	90 feet  • 90 feets • 90 foot	0 alle anderen Antworten
32	EL118d	4. How deep does it go down into the water?	1	1300 feet  • 1300 foot	0 alle anderen Antworten
33	EL118e	5. Into how many pieces did it break?	1	4  • into four pieces • 4 pieses	0 alle anderen Antworten
34	EL118f	6. How many years could pass before it gets a challenger?	1	hundreds of years  • hundreds  • 100s • 100 of years • hundret of years	0 alle anderen Antworten 
35	EL121a	1. When did the first Rock Challenge in Dresten take place?	1	4 years ago  • before 4 years	0 alle anderen Antworten
36	EL121c	2. How old are the students who take part?	1	11-18  • 11-18 years old  • 11 till 18	0 alle anderen Antworten
